gene_symbol,log2_fold_change,nominal_p,adjusted_p
CTXN1,-0.6564023099022558,8.236165441671686e-6,9.02571617066126e-4
SMARCA4,-0.2320950744960237,8.329537873105714e-6,9.0804977719779e-4
IQSEC1,-0.3196069916633313,8.52843093824014e-6,9.201473606613628e-4
TMEM8B,-0.28990745243917004,8.626097556004299e-6,9.259120407421846e-4
SLC6A9,0.754438430186223,8.726779021556558e-6,9.31939855613267e-4
TCF7L1,0.7112454736538663,8.90982556061518e-6,9.36837606074906e-4
BLOC1S5,0.2653719050902912,8.950584814075773e-6,9.36837606074906e-4
AGBL4,-0.5536753468138353,8.984558053132719e-6,9.36837606074906e-4
INO80B-WBP1,3.913953595906816,9.035874475058367e-6,9.36837606074906e-4
PALM2AKAP2,-0.7875844747462417,9.03755067567932e-6,9.36837606074906e-4
PKNOX2,-0.43646770005541136,9.041192318911232e-6,9.36837606074906e-4
RAB29,0.5296936074163048,9.106511087029512e-6,9.389575544956392e-4
FCRLA,1.7687903654728545,9.165737247705408e-6,9.404315996653036e-4
NORAD,-0.33215873375674576,9.402394839528956e-6,9.578815897301236e-4
TMEM86B,-0.45483324382626344,9.487552546280038e-6,9.578815897301236e-4
CRB2,0.8009909475054364,9.554980082504729e-6,9.578815897301236e-4
HTR6,-0.6102714103263269,9.567482715989973e-6,9.578815897301236e-4
GPT,0.696104920605654,9.59906802165071e-6,9.578815897301236e-4
MYSM1,-0.36681366969924056,9.627920197158842e-6,9.578815897301236e-4
NEDD4,0.5266169562172398,9.7346436865999e-6,9.578815897301236e-4
PTMAP5,0.749108126619079,9.771524702100272e-6,9.578815897301236e-4
SYT9-AS1,0.7465574766469596,9.851715487503098e-6,9.578815897301236e-4
VIPR1,-0.4880357704463591,9.865922791989131e-6,9.578815897301236e-4
LOC122455342,1.450431813049245,9.884975556911125e-6,9.578815897301236e-4
TUBAP7,-1.2129749692790672,1.0007567562595196e-5,9.6529215047318e-4
CCDC160,0.87064986081046,1.0083503107683992e-5,9.66443502950286e-4
EXTL1,-0.5671770158846678,1.0111849751378942e-5,9.66443502950286e-4
LSM14A,0.2063031766246368,1.0168563703310155e-5,9.674463948817496e-4
TYRP1,-1.3780912350308825,1.0403501430411038e-5,9.778299772290723e-4
CDH23,0.9225238126488158,1.0417853180549573e-5,9.778299772290723e-4
DDIT4L,1.14426668662765,1.1031594866952175e-5,0.00102594033468854
MUC1,1.0524193910791857,1.1077469573341502e-5,0.00102594033468854
SUPT16H,-0.26896418242371034,1.1189002191820566e-05,0.00103170486729954
SNORA63,1.1449683664546106,1.1291778596942267e-5,0.00103661499040613
DDR2,0.7525057575785281,1.1405898370243288e-5,0.00104251903400682
PYROXD2,0.5775565016614173,1.1507914146813782e-5,0.00104727022176938
LTBP1,0.8837040005050927,1.1634669394886832e-5,0.00105221804283125
SLC39A11,0.561674756107795,1.1681961152248258e-5,0.00105221804283125
CORO2A,-0.5487619781994136,1.1713095598857358e-5,0.00105221804283125
PCNX2,-0.3883136227129542,1.188540414302991e-5,0.00105932570969794
DCAF4,-0.34196780623949086,1.1893437570064302e-5,0.00105932570969794
MAST3,-0.4670083628131758,1.2055886988197064e-5,0.00106921132768073
FBXO27,-0.3238108653923888,1.2125628354216449e-5,0.00106921132768073
WDR6,0.3551855135249138,1.2157675026898582e-5,0.00106921132768073
PGGHG,0.9044641705380104,1.2271737494786796e-5,0.00107007469649605
LNCBRM,-1.3329121488165248,1.2330328223380116e-5,0.00107007469649605
DPY19L2P2,-0.45741482752072393,1.2354177421828886e-5,0.00107007469649605
CALML4,0.5929306116255271,1.2371987795711916e-5,0.00107007469649605
MLIP,-0.7540371837118847,1.247805799155225e-5,0.00107480753835876
PRKD3,0.6145982810216601,1.3088385199623814e-5,0.00112024566100878
LAMB2,0.7042068657255616,1.311261702485085e-5,0.00112024566100878
NUPR1,1.077822726886934,1.345171655303527e-5,0.00114454422427472
AHNAK,0.9460084253646012,1.4076371729917227e-5,0.00119284427805221
HRH2,-0.5116682637243208,1.4138985478668427e-5,0.00119331897199197
HMGN3,0.3483376355711836,1.4289614623357244e-5,0.00120118844852004
SNORA23,1.452974154080545,1.4427170582898746e-5,0.00120790042988261
PRSS16,-1.0714698720450884,1.4521162291097552e-5,0.00120910392768208
MAPKAPK5,-0.2028343283830294,1.4614843710456596e-5,0.00120910392768208
BOC,0.5521406146701411,1.473619926578034e-5,0.00121295224082816
SMTN,0.9205186634141692,1.4777259634569882e-5,0.00121295224082816
LINC01257,-1.513697326559348,1.4905554198990764e-5,0.00121870373023076
